age_rating_s,age rating s,健全
front-tie_bikini,front-tie bikini,フロントタイビキニ
headpiece,headpiece,ヘッドピース
@_@,@ @,@ @
tasuki,tasuki,タスキ
bath,bath,浴
shiki_eiki,shiki eiki,志木EIKI
shade,shade,シェード
pumpkin,pumpkin,かぼちゃ
toramaru_shou,toramaru shou,寿toramaru
guilty_gear,guilty gear,ギルティギア
drinking_straw,drinking straw,ストロー
gagged,gagged,猿轡
petticoat,petticoat,ペチコート
beanie,beanie,ビーニー
plugsuit,plugsuit,プラグスーツ
ryuujou_(kantai_collection),ryuujou (kantai collection),ryuujou（艦隊コレクション）
highleg_leotard,highleg leotard,ハイレグレオタード
can,can,できる
highleg_panties,highleg panties,ハイレグパンティ
kashima_(kantai_collection),kashima (kantai collection),鹿島（艦隊コレクション）
riding,riding,ライディング
northern_ocean_hime,northern ocean hime,北の海の姫
triangle_mouth,triangle mouth,三角形の口
arm_grab,arm grab,腕をつかみます
beachball,beachball,ビーチボール
daiyousei,daiyousei,daiyousei
skirt_hold,skirt hold,スカートホールド
5boys,5boys,5boys
pen,pen,ペン
bow_bra,bow bra,弓のブラジャー
tatami,tatami,畳
oriental_umbrella,oriental umbrella,東洋の傘
road,road,道路
enmaided,enmaided,enmaided
hoop_earrings,hoop earrings,フープピアス
raised_eyebrows,raised eyebrows,眉を上げました
red_hat,red hat,レッドハット
succubus,succubus,夢魔
white_apron,white apron,白いエプロン
hand_on_own_cheek,hand on own cheek,自分の頬に手
vambraces,vambraces,vambraces
heart_of_string,heart of string,文字列の心臓部
blue_flower,blue flower,青い花
shoulder_bag,shoulder bag,ショルダーバッグ
size_difference,size difference,サイズ違い
incest,incest,近親相姦
hair_censor,hair censor,髪の検閲
railing,railing,手すり
to_heart_2,to heart 2,心臓へ2
one_piece,one piece,ワンピース
floral_background,floral background,花の背景
red_hakama,red hakama,赤い袴
petite,petite,プチ
rwby,rwby,rwby
hibiscus,hibiscus,ハイビスカス
pokemon_bw,pokemon bw,ポケモンBW
clothed_female_nude_male,clothed female nude male,服を着て女性のヌード男性
cabbie_hat,cabbie hat,タクシー運転手の帽子
the_king_of_fighters,the king of fighters,戦闘機の王
hands_on_own_chest,hands on own chest,自分の胸に手
ankle_boots,ankle boots,アンクルブーツ
plaid_vest,plaid vest,チェック柄のベスト
nishikino_maki,nishikino maki,nishikinoまき
one-piece_tan,one-piece tan,ワンピースタン
hair_up,hair up,ヘアアップ
orange_background,orange background,オレンジ色の背景
gen_3_pokemon,gen 3 pokemon,GEN 3ポケモン
bridal_veil,bridal veil,ブライダルベール
watercraft,watercraft,舟艇
logo,logo,ロゴ
inverted_nipples,inverted nipples,陥没乳頭
ranguage,ranguage,ranguage
bat,bat,コウモリ
hand_on_own_face,hand on own face,自分の顔に手
cheerleader,cheerleader,チアガール
drinking,drinking,飲酒
black_sclera,black sclera,黒強膜
tamamo_(fate)_(all),tamamo (fate) (all),玉藻（運命）（すべて）
snowflakes,snowflakes,雪
fate/extra_ccc,fate/extra ccc,運命/エクストラCCC
blood_on_face,blood on face,顔に血
holster,holster,ホルスター
sarong,sarong,サロン
shorts_under_skirt,shorts under skirt,スカートの下にショートパンツ
tsukihime,tsukihime,月姫
torii,torii,鳥居
black_leotard,black leotard,黒のレオタード
persona_3,persona 3,ペルソナ3
fairy,fairy,妖精
animal_costume,animal costume,動物の着ぐるみ
flipped_hair,flipped hair,裏返し髪
misaka_mikoto,misaka mikoto,御坂美琴
fire_emblem_heroes,fire emblem heroes,火災エンブレムの英雄
armored_boots,armored boots,装甲ブーツ
white_hairband,white hairband,白いヘアバンド
drunk,drunk,酔っ
watercolor_(medium),watercolor (medium),水彩（中）
bare_back,bare back,裸の背中
frilled_shirt_collar,frilled shirt collar,フリルのついたシャツの襟
nero_claudius_(fate)_(all),nero claudius (fate) (all),ネロクラウディウス（運命）（すべて）
polka_dot_background,polka dot background,水玉の背景
japanese_armor,japanese armor,日本の鎧
wooden_floor,wooden floor,木の床
water_drop,water drop,水滴
princess_carry,princess carry,王女のキャリー
bound_wrists,bound wrists,バウンド手首
upper_teeth,upper teeth,上の歯
wagashi,wagashi,和菓子
mug,mug,マグ
biting,biting,噛む
bathing,bathing,入浴
sample,sample,サンプル
saliva_trail,saliva trail,唾液トレイル
domino_mask,domino mask,ドミノマスク
laughing,laughing,笑い
fishnet_pantyhose,fishnet pantyhose,網タイツパンスト
high_collar,high collar,ハイカラ
dragon_girl,dragon girl,竜の少女
carrot,carrot,にんじん
vertical-striped_legwear,vertical-striped legwear,縦縞のレッグウェア
gift_box,gift box,ギフト用の箱
pink_footwear,pink footwear,ピンクの靴
dark,dark,闇
fur,fur,毛皮
space,space,スペース
bracer,bracer,bracer
animal_hood,animal hood,動物フード
indian_style,indian style,インド風
suzuya_(kantai_collection),suzuya (kantai collection),鈴屋（艦隊コレクション）
mermaid,mermaid,マーメイド
facepaint,facepaint,フェイスペイント
licking_lips,licking lips,唇を舐めます
print_legwear,print legwear,印刷レッグウェア
randoseru,randoseru,ランドセル
alternate_breast_size,alternate breast size,別の胸のサイズ
naked_shirt,naked shirt,裸シャツ
sand,sand,砂
large_areolae,large areolae,大きな乳輪
yazawa_nico,yazawa nico,矢沢のニコ
bangle,bangle,腕輪
jacket_on_shoulders,jacket on shoulders,肩の上にジャケット
kicking,kicking,蹴ります
houshou_(kantai_collection),houshou (kantai collection),宝生（艦隊コレクション）
shoulder_pads,shoulder pads,肩パッド
cable,cable,ケーブル
hand_to_own_mouth,hand to own mouth,自分の口に手
brown_skirt,brown skirt,茶色のスカート
vampire_(game),vampire (game),吸血鬼（ゲーム）
rebuild_of_evangelion,rebuild of evangelion,エヴァンゲリオン新劇場版
super_mario_bros.,super mario bros.,スーパーマリオブラザーズ。
shibuya_rin,shibuya rin,渋谷凛
himekaidou_hatate,himekaidou hatate,himekaidou hatate
multiple_persona,multiple persona,複数のペルソナ
pom_poms,pom poms,ポンポン
furry,furry,毛皮で覆われました
atago_(kantai_collection),atago (kantai collection),愛宕（艦隊コレクション）
yellow_ribbon,yellow ribbon,黄色いリボン
matoi_ryuuko,matoi ryuuko,matoi龍虎
wedding_band,wedding band,結婚指輪
bouncing_breasts,bouncing breasts,胸をバウンス
pigeon-toed,pigeon-toed,内股
tea,tea,お茶
holding_umbrella,holding umbrella,保持傘
partly_fingerless_gloves,partly fingerless gloves,一部は指の手袋
alternate_hair_color,alternate hair color,代替髪の色
nagae_iku,nagae iku,長江IKU
gen_5_pokemon,gen 5 pokemon,第5世代ポケモン
asymmetrical_legwear,asymmetrical legwear,非対称のレッグウェア
lamp,lamp,ランプ
cityscape,cityscape,街並み
whisker_markings,whisker markings,ウィスカのマーキング
glint,glint,閃光
ribbon_choker,ribbon choker,リボンチョーカー
car,car,車
gen_4_pokemon,gen 4 pokemon,GEN 4ポケモン
naked_apron,naked apron,裸エプロン
+++,+++,+++
horizon,horizon,地平線
purple_panties,purple panties,紫のパンティー
checkered_floor,checkered floor,市松模様の床
cum_on_clothes,cum on clothes,服の兼
lace-trimmed_thighhighs,lace-trimmed thighhighs,レーストリミングニーソックス
pink_shirt,pink shirt,ピンクのシャツ
symmetrical_docking,symmetrical docking,対称ドッキング
candle,candle,キャンドル
multicolored_eyes,multicolored eyes,色とりどりの目
usami_renko,usami renko,宇佐美蓮子
artist_self-insert,artist self-insert,アーティストの自己挿入
bench,bench,ベンチ
underbust,underbust,アンダーバスト
gen_2_pokemon,gen 2 pokemon,GEN 2ポケモン
overalls,overalls,オーバーオール
karakasa_obake,karakasa obake,karakasaおばけ
lace-trimmed_panties,lace-trimmed panties,レーストリミングパンティー
alternate_eye_color,alternate eye color,代替の目の色
pool,pool,プール
star-shaped_pupils,star-shaped pupils,星型の生徒
on_head,on head,頭の上に
greaves,greaves,脛当て
computer,computer,コンピューター
bakemonogatari,bakemonogatari,化物語
frilled_apron,frilled apron,フリルのついたエプロン
front_ponytail,front ponytail,フロントポニーテール
high-waist_skirt,high-waist skirt,ハイウエストスカート
classroom,classroom,教室
mouse_tail,mouse tail,マウスの尾
scabbard,scabbard,鞘
teapot,teapot,ティーポット
toujou_nozomi,toujou nozomi,東城のぞみ
electricity,electricity,電気
hair_over_eyes,hair over eyes,目の上に髪
evil_smile,evil smile,邪悪な笑顔
on_floor,on floor,床に
arm_cannon,arm cannon,アーム大砲
hard_translated,hard translated,ハード翻訳
ayase_eli,ayase eli,イーライ綾瀬
murasa_minamitsu,murasa minamitsu,murasa minamitsu
murakumo_(kantai_collection),murakumo (kantai collection),叢雲（艦隊コレクション）
short_kimono,short kimono,短い着物
orange_bow,orange bow,オレンジ色の弓
against_wall,against wall,壁に
mahou_shoujo_lyrical_nanoha_a's,mahou shoujo lyrical nanoha a's,魔法少女リリカルなのはAさん
stubble,stubble,無精ひげ
striped_bow,striped bow,ストライプの弓
in_container,in container,コンテナ内
sonoda_umi,sonoda umi,園田海
absurdly_long_hair,absurdly long hair,ばかばかしいほど長い髪
engrish_text,engrish text,engrishテキスト
mini_crown,mini crown,ミニクラウン
yuru_yuri,yuru yuri,ゆるゆり
hands_on_own_face,hands on own face,自分の顔に手
kotobuki_tsumugi,kotobuki tsumugi,琴吹紬
shoukaku_(kantai_collection),shoukaku (kantai collection),shoukaku（艦隊コレクション）
ushio_(kantai_collection),ushio (kantai collection),ウシオ電機（艦隊コレクション）
imminent_kiss,imminent kiss,差し迫ったキス
white_scarf,white scarf,白いスカーフ
fujimaru_ritsuka_(female),fujimaru ritsuka (female),藤丸ritsuka（メス）
hand_on_another's_face,hand on another's face,別の顔に手
light,light,光
skirt_pull,skirt pull,スカートプル
fire_emblem:_kakusei,fire emblem: kakusei,火災エンブレム：覚醒
company_name,company name,会社名
pink_neckwear,pink neckwear,ピンクネックウェアー
body_blush,body blush,ボディ赤面
bandaged_arm,bandaged arm,包帯アーム
rockman,rockman,ロックマン
striped_neckwear,striped neckwear,ストライプネックウェアー
black_nails,black nails,黒い爪
genderswap_(ftm),genderswap (ftm),ジェンダー（FTM）
open_fly,open fly,オープンフライ
spoken_question_mark,spoken question mark,口語疑問符
2015,2015,2015
rensouhou-chan,rensouhou-chan,rensouhouちゃん
maribel_hearn,maribel hearn,マリベルのハーン
toeless_legwear,toeless legwear,toelessレッグウェア
pee,pee,おしっこ
pantyhose_pull,pantyhose pull,パンストプル
raccoon_ears,raccoon ears,アライグマの耳
imaizumi_kagerou,imaizumi kagerou,今泉蜉蝣
checkered_background,checkered background,市松模様の背景
vampire,vampire,吸血鬼
resized,resized,リサイズ
macross_frontier,macross frontier,マクロスF（フロンティア）
ayanami_rei,ayanami rei,綾波レイ
wristwatch,wristwatch,腕時計
star_hair_ornament,star hair ornament,スターの髪飾り
arm_behind_head,arm behind head,頭の後ろに腕
raglan_sleeves,raglan sleeves,ラグランスリーブ
ear_piercing,ear piercing,耳にピアスの穴を開ける
covered_mouth,covered mouth,カバーの口
sleeves_past_fingers,sleeves past fingers,過去の指スリーブ
hand_on_another's_shoulder,hand on another's shoulder,別の肩に手
peeing,peeing,おしっこ
little_busters!,little busters!,リトルバスターズ！
pasties,pasties,スパンコール
maple_leaf,maple leaf,カエデの葉
hoshii_miki,hoshii miki,星井美希
splatoon_1,splatoon 1,スプラトゥーン1
blue_swimsuit,blue swimsuit,青い水着
striped_background,striped background,ストライプの背景
tank,tank,タンク
sunbeam,sunbeam,サンビーム
kumoi_ichirin,kumoi ichirin,云井ichirin
2koma,2koma,2koma
sandwiched,sandwiched,挟まれ
huge_weapon,huge weapon,巨大な武器
kurodani_yamame,kurodani yamame,kurodaniヤマメ
leg_garter,leg garter,脚ガーター
seiyuu_connection,seiyuu connection,声優接続
bra_lift,bra lift,ブラジャーリフト
head_wreath,head wreath,ヘッド花輪
slippers,slippers,スリッパ
yukikaze_(kantai_collection),yukikaze (kantai collection),雪風（艦隊コレクション）
kaku_seiga,kaku seiga,カクseiga
hair_over_breasts,hair over breasts,胸の上に髪
clannad,clannad,CLANNAD-クラナド - 
belt_buckle,belt buckle,ベルトのバックル
leaning_back,leaning back,傾いバック
ragnarok_online,ragnarok online,ラグナロクオンライン
mushroom,mushroom,キノコ
sakazuki,sakazuki,sakazuki
hiiragi_kagami,hiiragi kagami,柊かがみ
halftone,halftone,ハーフトーン
0_0,0 0,0 0
bags_under_eyes,bags under eyes,目の下
pink_bikini,pink bikini,ピンクのビキニ
link,link,リンク
serval_(kemono_friends),serval (kemono friends),サーバル（獣の友人）
amatsukaze_(kantai_collection),amatsukaze (kantai collection),amatsukaze（艦隊コレクション）
slingshot_swimsuit,slingshot swimsuit,パチンコ水着
kitakami_(kantai_collection),kitakami (kantai collection),北上（艦隊コレクション）
grey_shirt,grey shirt,グレーのシャツ
nipple_tweak,nipple tweak,乳首微調整
shibari,shibari,縛り
cravat,cravat,ネクタイ
dokidoki!_precure,dokidoki! precure,ドキドキ！プリキュア
gundam_00,gundam 00,機動戦士ガンダム00
happy_sex,happy sex,幸せなセックス
pokemon_(anime),pokemon (anime),ポケモン（アニメ）
broom_riding,broom riding,ほうきに乗って
nishizumi_miho,nishizumi miho,nishizumiミホ
tatsuta_(kantai_collection),tatsuta (kantai collection),龍田（艦隊コレクション）
paintbrush,paintbrush,絵筆
purple_ribbon,purple ribbon,パープルリボン
lowleg_panties,lowleg panties,lowlegパンティー
scared,scared,おびえました
axis_powers_hetalia,axis powers hetalia,軸力ヘタリア
d:,d:,D：
falling,falling,落下
jeanne_d'arc_(alter)_(fate),jeanne d'arc (alter) (fate),ジャンヌダルク（変更）（運命）
gilgamesh,gilgamesh,ギルガメッシュ
female_admiral_(kantai_collection),female admiral (kantai collection),女性提督（艦隊コレクション）
nier_(series),nier (series),ニーア（シリーズ）
belly,belly,腹
axe,axe,斧
red_panties,red panties,赤パンティー
bush,bush,ブッシュ
explosion,explosion,爆発
sake,sake,酒
tiles,tiles,タイル
happy_new_year,happy new year,明けましておめでとうございます
assault_rifle,assault rifle,アサルトライフル
to_love-ru,to love-ru,愛-RUへ
rigging,rigging,リギング
hammer_(sunset_beach),hammer (sunset beach),ハンマー（日没ビーチ）
sports_bra,sports bra,スポーツブラ
kamen_rider,kamen rider,仮面ライダー
bamboo,bamboo,竹
dark_persona,dark persona,ダークペルソナ
high_school_dxd,high school dxd,高校DXD
naked_towel,naked towel,裸タオル
out-of-frame_censoring,out-of-frame censoring,アウトオブフレーム検閲
singing,singing,歌うこと
error,error,エラー
strapless_leotard,strapless leotard,ストラップレスのレオタード
wardrobe_malfunction,wardrobe malfunction,ワードローブの誤動作
turtleneck_sweater,turtleneck sweater,タートルネックのセーター
otonokizaka_school_uniform,otonokizaka school uniform,otonokizaka学校の制服
black_rock_shooter,black rock shooter,ブラックロックシューター
ooarai_school_uniform,ooarai school uniform,ooaraiの学校の制服
kuujou_joutarou,kuujou joutarou,kuujou joutarou
autumn_leaves,autumn leaves,紅葉
dragon_horns,dragon horns,ドラゴンホーン
blue_hat,blue hat,青い帽子
orgasm,orgasm,オーガズム
rem_(re:zero),rem (re:zero),REM（再：ゼロ）
pixiv_fantasia,pixiv fantasia,ピクシブファンタジア
white_leotard,white leotard,白いレオタード
one_breast_out,one breast out,1人の胸アウト
spiked_bracelet,spiked bracelet,スパイクブレスレット
idolmaster_cinderella_girls_starlight_stage,idolmaster cinderella girls starlight stage,アイドルマスターシンデレラガールズ星明り段階
kaito,kaito,怪盗
paw_print,paw print,足のプリント
heart_hands,heart hands,心臓の手
star_print,star print,スタープリント
photo_(object),photo (object),写真（オブジェクト）
ibaraki_kasen,ibaraki kasen,茨城kasen
final_fantasy_vii,final fantasy vii,ファイナルファンタジーVII
pencil,pencil,鉛筆
nipple_piercing,nipple piercing,乳首ピアス
bleach,bleach,漂白
bikini_armor,bikini armor,ビキニアーマー
kasodani_kyouko,kasodani kyouko,kasodani京子
^o^,^o^,^ O ^
tubetop,tubetop,チューブトップ
femdom,femdom,女王様の世界
transparent,transparent,トランスペアレント
heartcatch_precure!,heartcatch precure!,ハートキャッチプリキュア！
object_on_head,object on head,頭の上にオブジェクト
asymmetrical_clothes,asymmetrical clothes,非対称の服
cum_in_ass,cum in ass,お尻に兼
double-breasted,double-breasted,ダブルブレスト
controller,controller,コントローラ
green_shirt,green shirt,緑のシャツ
bald,bald,はげました
cross-laced_clothes,cross-laced clothes,クロス編み上げ服
black_border,black border,黒のボーダー
doughnut,doughnut,ドーナツ
serval_ears,serval ears,サーバル耳
mother_and_daughter,mother and daughter,母と娘
pink,pink,ピンク
gameplay_mechanics,gameplay mechanics,ゲームプレイ力学
shackles,shackles,束縛
house,house,家
hata_no_kokoro,hata no kokoro,心の畑
missionary,missionary,宣教師
monster_hunter,monster hunter,モンスターハンター
puffy_long_sleeves,puffy long sleeves,ふくらん長袖
vines,vines,つる
veiny_penis,veiny penis,veinyペニス
perspective,perspective,展望
joseph_joestar_(young),joseph joestar (young),ジョセフjoestar（若いです）
heart_hair_ornament,heart hair ornament,心の髪飾り
field,field,フィールド
pulled_by_self,pulled by self,自己によって引っ張ら
head_fins,head fins,ヘッドフィン
gen_7_pokemon,gen 7 pokemon,GEN 7ポケモン
white_wings,white wings,白い翼
draph,draph,draph
o-ring_top,o-ring top,Oリングトップ
scroll,scroll,スクロール
purple_bow,purple bow,紫色のちょうネクタイ
toenail_polish,toenail polish,足の爪を磨きます
soga_no_tojiko,soga no tojiko,曽我何tojikoません
puzzle_&_dragons,puzzle & dragons,パズル＆ドラゴンズ
scales,scales,秤
prinz_eugen_(kantai_collection),prinz eugen (kantai collection),プリンツオイゲン（艦隊コレクション）
izumi_konata,izumi konata,泉こなた
garrison_cap,garrison cap,守備隊のキャップ
heart_censor,heart censor,心の検閲
angel_beats!,angel beats!,エンジェルビーツ！
wet_shirt,wet shirt,濡れたシャツ
single_shoe,single shoe,単一の靴
yin_yang,yin yang,陰陽
green_neckwear,green neckwear,緑のネックウェアー
queen's_blade,queen's blade,クイーンズブレイド
dagger,dagger,短剣
minami_kotori,minami kotori,南ことり
angel,angel,天使
criss-cross_halter,criss-cross halter,十字形ホルターネック
thumbs_up,thumbs up,いいぞ
boku_no_hero_academia,boku no hero academia,無ヒーロー学界僕
\m/,\m/,\メートル/
bad_tumblr_id,bad tumblr id,悪いtumblrのIDを
hachimaki,hachimaki,鉢巻
nier_automata,nier automata,ニーアオートマトン
tiger_print,tiger print,虎の印刷
stretch,stretch,ストレッチ
ruins,ruins,廃墟
aura,aura,オーラ
bright_pupils,bright pupils,明るい生徒
akebono_(kantai_collection),akebono (kantai collection),あけぼの（艦隊コレクション）
babydoll,babydoll,ベビードール
open_coat,open coat,オープンコート
futon,futon,布団
anal_object_insertion,anal object insertion,肛門のオブジェクトの挿入
;o,;o,; O
downblouse,downblouse,downblouse
amami_haruka,amami haruka,奄美遥
trigger_discipline,trigger discipline,トリガー規律
sailor_senshi_uniform,sailor senshi uniform,美少女戦士セーラームーンの登場人物均一
senran_kagura,senran kagura,senran神楽
crescent_moon,crescent moon,三日月
anchor_hair_ornament,anchor hair ornament,アンカー髪飾り
bikini_skirt,bikini skirt,ビキニスカート
butterfly_hair_ornament,butterfly hair ornament,蝶の髪飾り
darling_in_the_franxx,darling in the franxx,franxxで最愛の人
danmaku,danmaku,弾幕
korean_text,korean text,韓国語のテキスト
paid_reward,paid reward,支払った報酬
deep_skin,deep skin,皮膚深部
sad,sad,悲しい
magatama,magatama,勾玉
wo-class_aircraft_carrier,wo-class aircraft carrier,WO級航空母艦
chess_piece,chess piece,チェスの駒
bird_wings,bird wings,鳥の羽
pinky_out,pinky out,ピンキーアウト
suigintou,suigintou,水銀燈
sharp_fingernails,sharp fingernails,鋭い爪
outside_border,outside border,外枠線
miyako_yoshika,miyako yoshika,宮古YOSHIKA
inkling,inkling,暗示
girl_sandwich,girl sandwich,女の子のサンドイッチ
sweater_dress,sweater dress,セータードレス
raccoon_tail,raccoon tail,アライグマ尾
reaching_out,reaching out,手を差し伸べる
shimenawa,shimenawa,注連縄
dragon_ball_z,dragon ball z,ドラゴンボールZ
polka_dot_bow,polka dot bow,ポルカドットの弓
breast_sucking,breast sucking,乳房吸引
mahou_shoujo_madoka_magica_movie,mahou shoujo madoka magica movie,魔法少女まどかマギカ映画
purple_bikini,purple bikini,紫のビキニ
brothers,brothers,ブラザーズ
no_socks,no socks,靴下なし
bulge,bulge,膨らみ
television,television,テレビ
green_panties,green panties,緑のパンティー
mini_top_hat,mini top hat,ミニトップハット
suspender_skirt,suspender skirt,サスペンダースカート
tengu-geta,tengu-geta,天狗、下駄
illyasviel_von_einzbern,illyasviel von einzbern,illyasvielフォンeinzbern
blue_nails,blue nails,青色の爪
cardcaptor_sakura,cardcaptor sakura,カードキャプターさくら
beamed_eighth_notes,beamed eighth notes,梁の八分音符
time_paradox,time paradox,タイムパラドックス
brown_jacket,brown jacket,茶色のジャケット
nitroplus,nitroplus,ニトロプラス
tamamo_no_mae_(fate),tamamo no mae (fate),玉藻なしメイ（運命）
character_sheet,character sheet,キャラクターシート
pikachu,pikachu,ピカチュウ
aki_minoriko,aki minoriko,アキminoriko
stand_(jojo),stand (jojo),スタンド（ジョジョ）
food_in_mouth,food in mouth,口の中に食べ物
threesome,threesome,三人組
yamato_(kantai_collection),yamato (kantai collection),ヤマト（艦隊コレクション）
potted_plant,potted plant,鉢植え
white_neckwear,white neckwear,白ネックウェアー
splashing,splashing,はね
c.c.,c.c.,c.c.
inazuma_eleven,inazuma eleven,イナズマイレブン
pun,pun,しゃれ
3:,3:,3：
soaking_feet,soaking feet,浸漬足
mutsu_(kantai_collection),mutsu (kantai collection),陸奥（艦隊コレクション）
blue_rose,blue rose,青いバラ
bobby_socks,bobby socks,ボビーソックス
watermelon,watermelon,スイカ
blue_shorts,blue shorts,ブルーパンツ
toenails,toenails,足の爪
wet_hair,wet hair,ぬれた髪
fundoshi,fundoshi,ふんどし
handheld_game_console,handheld game console,携帯型ゲーム
oldschool,oldschool,古い学校
kijin_seija,kijin seija,kijin seija
arm_garter,arm garter,アームガーター
yoko_littner,yoko littner,陽子littner
arm_ribbon,arm ribbon,アームリボン
holding_staff,holding staff,持株スタッフ
pipe,pipe,パイプ
school_desk,school desk,学校の机
kisaragi_chihaya,kisaragi chihaya,如月千早
print_panties,print panties,印刷パンティー
orange_skirt,orange skirt,オレンジ色のスカート
trading_card,trading card,トレーディングカード
breast_rest,breast rest,胸の休息
iron_cross,iron cross,鉄十字
hieda_no_akyuu,hieda no akyuu,akyuuなし稗田
elsword,elsword,エクスソード
dragon_tail,dragon tail,竜の尻尾
jeanne_d'arc_(fate),jeanne d'arc (fate),ジャンヌダルク（運命）
blue_gloves,blue gloves,青い手袋
bismarck_(kantai_collection),bismarck (kantai collection),ビスマルク（艦隊コレクション）
rice,rice,ご飯
warship_girls_r,warship girls r,軍艦の女の子のR
wall,wall,壁
new_super_mario_bros._u_deluxe,new super mario bros. u deluxe,Newスーパーマリオブラザーズ。 Uデラックス
multiple_4koma,multiple 4koma,複数の4koma
over_shoulder,over shoulder,肩に
mismatched_legwear,mismatched legwear,不一致のレッグウェア
bubble_skirt,bubble skirt,バブルスカート
frilled_panties,frilled panties,フリルのついたパンティー
phantasy_star,phantasy star,ファンタシースター
scar_across_eye,scar across eye,目全体傷跡
green_ribbon,green ribbon,緑のリボン
super_crown,super crown,スーパー冠
antlers,antlers,アントラーズ
nun,nun,尼
kousaka_honoka,kousaka honoka,向坂ほのか
90s,90s,90年代
yellow_skirt,yellow skirt,黄色のスカート
glowing_eye,glowing eye,輝く目
kariginu,kariginu,kariginu
abigail_williams_(fate/grand_order),abigail williams (fate/grand order),アビゲイル・ウィリアムズ（運命/壮大順）
fishnet_legwear,fishnet legwear,網タイツレッグウェア
panty_&_stocking_with_garterbelt,panty & stocking with garterbelt,パンティ＆ストッキングwithガーターベルト
idolmaster_1,idolmaster 1,アイドルマスター1
cunnilingus,cunnilingus,クンニリングス
big_hair,big hair,大きな髪
meiko,meiko,メイコ
tied_shirt,tied shirt,縛らシャツ
albino,albino,アルビノ
shikinami_asuka_langley,shikinami asuka langley,式波・アスカ・ラングレー
shijou_takane,shijou takane,shijou高根
red,red,赤
legwear_under_shorts,legwear under shorts,ショートパンツの下のレッグウェア
megami,megami,女神
white_school_swimsuit,white school swimsuit,白スクール水着
horn_ribbon,horn ribbon,ホーンリボン
wine_glass,wine glass,ワイングラス
haruyama_kazunori,haruyama kazunori,春山和則
self_shot,self shot,セルフショット
asymmetrical_docking,asymmetrical docking,非対称ドッキング
fox_mask,fox mask,キツネのマスク
mechanical_halo,mechanical halo,機械ハロー
cookie,cookie,クッキー
red_leotard,red leotard,赤いレオタード
one_knee,one knee,片膝
matou_sakura,matou sakura,間桐桜
layered_dress,layered dress,レイヤードワンピース
long_dress,long dress,ロングドレス
giantess,giantess,巨人
bridge,bridge,ブリッジ
object_hug,object hug,オブジェクトの抱擁
minase_iori,minase iori,水無瀬伊織
fucked_silly,fucked silly,めちゃくちゃ愚かな
paw_gloves,paw gloves,足の手袋
ex-keine,ex-keine,EX-慧音
squiggle,squiggle,波線
fat_mons,fat mons,脂肪モンス
side_bun,side bun,サイドパン
aki_shizuha,aki shizuha,アキshizuha
architecture,architecture,建築
face-to-face,face-to-face,面と向かって
letty_whiterock,letty whiterock,レティホワイトロック
casual_one-piece_swimsuit,casual one-piece swimsuit,カジュアルなワンピース水着
colored_pencil_(medium),colored pencil (medium),色鉛筆（媒体）
pink_hat,pink hat,ピンクの帽子
kyon,kyon,キョン
short_eyebrows,short eyebrows,短い眉毛
annoyed,annoyed,イライラ
argyle_legwear,argyle legwear,アーガイルレッグウェア
partially_colored,partially colored,部分的に色
reverse_trap,reverse trap,逆トラップ
bonnet,bonnet,ボンネット
ooi_(kantai_collection),ooi (kantai collection),OOI（艦隊コレクション）
yorha_no._2_type_b,yorha no. 2 type b,ノーyorha。 2タイプB
sitting_on_lap,sitting on lap,膝の上に座って
leg_grab,leg grab,脚グラブ
breast_envy,breast envy,胸の羨望
3d,3d,3D
dancing,dancing,ダンシング
erune,erune,erune
kono_subarashii_sekai_ni_shukufuku_wo!,kono subarashii sekai ni shukufuku wo!,河野subarashii世界NI shukufuku WO！
halloween_costume,halloween costume,ハロウィーンの衣装
derivative_work,derivative work,派生作品
futatsuiwa_mamizou,futatsuiwa mamizou,futatsuiwa mamizou
strap,strap,吊り革
leaf_on_head,leaf on head,頭の上に葉
winter,winter,冬
closed_umbrella,closed umbrella,閉じられた傘
d.va_(overwatch),d.va (overwatch),d.va（オーバーウォッチ）
serval_print,serval print,サーバルプリント
confetti,confetti,金平糖
aikatsu!_(series),aikatsu! (series),aikatsu！ （シリーズ）
holding_phone,holding phone,保持電話
blue_leotard,blue leotard,青いレオタード
kotatsu,kotatsu,こたつ
takao_(kantai_collection),takao (kantai collection),高尾（艦隊コレクション）
skirt_removed,skirt removed,スカート削除
feeding,feeding,給餌
scathach_(fate)_(all),scathach (fate) (all),スカアハ（運命）（すべて）
gumi,gumi,亀尾
wet_panties,wet panties,濡れたパンティ
single_earring,single earring,シングルイヤリング
ganaha_hibiki,ganaha hibiki,我那覇響
cyborg,cyborg,サイボーグ
black_vest,black vest,黒いチョッキ
taut_shirt,taut shirt,ピンと張ったシャツ
beer,beer,ビール
osomatsu-san,osomatsu-san,おそ松さん
knee_pads,knee pads,膝パッド
muscular_female,muscular female,筋肉の女性
cherry,cherry,チェリー
shiranui_(kantai_collection),shiranui (kantai collection),不知火（艦隊コレクション）
hoshizora_rin,hoshizora rin,星空凛
doll_joints,doll joints,人形の関節
white_kimono,white kimono,白い着物
backless_dress,backless dress,バックレスドレス
whip,whip,ホイップ
hiei_(kantai_collection),hiei (kantai collection),比叡山（艦隊コレクション）
handcuffs,handcuffs,手錠
string_panties,string panties,文字列のパンティー
